symbol,name,market,industry,theme_tags,is_mainstream_theme,sector
2330,台積電,TWSE,半導體,AI/HPC/先進製程/CoWoS,1,半導體
2454,聯發科,TWSE,IC設計,手機晶片/ASIC/AI Edge,1,半導體
2383,台光電,TWSE,電子零組件,AI CCL/PCB,1,CCL
6669,緯穎,TWSE,電腦及週邊,AI伺服器/ODM,1,AI Server
2345,智邦,TWSE,網通,交換器/800G/AI網路,1,網通
2308,台達電,TWSE,電子零組件,電源供應/散熱/AI伺服器,1,電源散熱
2382,廣達,TWSE,電腦及週邊,AI伺服器/雲端/ODM,1,AI Server
3231,緯創,TWSE,電腦及週邊,AI伺服器/ODM,1,AI Server
2356,英業達,TWSE,電腦及週邊,AI伺服器/ODM,1,AI Server
2301,光寶科,TWSE,電子零組件,光學/電源/AI週邊,0,電子零組件
2317,鴻海,TWSE,電腦及週邊,AI伺服器/iPhone/ODM,1,ODM
3037,欣興,TWSE,電路板,ABF載板/AI PCB,1,PCB
2368,金像電,TWSE,電路板,HDI/AI PCB,1,PCB
6213,聯茂,TWSE,電子零組件,AI CCL/高頻材料,1,CCL
3017,奇鋐,TWSE,電子零組件,AI散熱/液冷,1,散熱
3324,雙鴻,TWSE,電子零組件,AI散熱/液冷,1,散熱
3653,健策,TWSE,電子零組件,AI散熱/均溫板,1,散熱
3661,世芯-KY,TWSE,IC設計,ASIC/AI晶片設計,1,半導體
3443,創意,TWSE,半導體,ASIC/HPC晶片/台積電生態系,1,半導體
2327,國巨,TWSE,電子零組件,被動元件/MLCC/車用,0,被動元件
3036,文曄,TWSE,電子通路,IC通路/AI週邊,0,通路
3702,大聯大,TWSE,電子通路,IC通路,0,通路
6196,帆宣,TWSE,其他電子,機電整合/AI廠房,0,電子設備
6271,同欣電,TWSE,電子零組件,感測器/車用,0,電子零組件
1101,台泥,TWSE,水泥工業,水泥/碳中和,0,傳產
1216,統一,TWSE,食品工業,食品/飲料/通路,0,傳產
2002,中鋼,TWSE,鋼鐵工業,鋼鐵/基礎建設,0,傳產
1301,台塑,TWSE,塑膠工業,石化/塑膠,0,傳產
1303,南亞,TWSE,塑膠工業,石化/PCB銅箔基板,0,傳產
1326,台化,TWSE,塑膠工業,石化/塑膠,0,傳產
2412,中華電,TWSE,通信網路,電信/5G/寬頻,0,電信
4904,遠傳,TWSE,通信網路,電信/5G,0,電信
3045,台灣大,TWSE,通信網路,電信/5G,0,電信
2881,富邦金,TWSE,金融保險,金控/壽險/銀行,0,金融
2882,國泰金,TWSE,金融保險,金控/壽險/銀行,0,金融
2891,中信金,TWSE,金融保險,金控/銀行,0,金融
2884,玉山金,TWSE,金融保險,金控/銀行/數位金融,0,金融
2886,兆豐金,TWSE,金融保險,金控/銀行,0,金融
2892,第一金,TWSE,金融保險,金控/銀行,0,金融
5880,合庫金,TWSE,金融保險,金控/銀行,0,金融
2890,永豐金,TWSE,金融保險,金控/銀行,0,金融
2887,台新金,TWSE,金融保險,金控/銀行,0,金融
2603,長榮,TWSE,航運業,貨櫃航運,0,航運
2609,陽明,TWSE,航運業,貨櫃航運,0,航運
2615,萬海,TWSE,航運業,貨櫃航運,0,航運
2610,華航,TWSE,航運業,航空/客運/貨運,0,航空
2618,長榮航,TWSE,航運業,航空/客運,0,航空
4938,和碩,TWSE,電腦及週邊,iPhone/ODM,0,ODM
2324,仁寶,TWSE,電腦及週邊,NB/ODM,0,ODM
2353,宏碁,TWSE,電腦及週邊,NB/PC品牌/AI PC,0,品牌電腦
